HT,190,HERRERA Y HERRERA. J. TRINIDAD,people
HJ,191,HINOJOSA. JOSE GUADALUPE,people
HR,193,HORNEDO. RICARDO,people
HA,194,HUIDOBRO DE AZUA. MIGUEL,people
II,195,IBARGUENGOITIA. IGNACIO,people
IA,196,ICAZA. ALBERTO,people
IC,197,ILIAOUES. CONSTANTINO P.,people
IM,198,ILLANES. MANUEL,people
IJ,199,IRIGOYEN. JOAQUIN B,people
IC,200,ITA. CARMEN DE,people
IG,201,ITA. GALO DE,people
IF,202,ITURBIDE. FRANCISCO,people
JB,203,JUAREZ MAZA. BENIYO,people
LL,204,LABASTIDA. LUIS G.,people
LP,205,LACLAU. PEDRO,people
LM,206,LACROIX. MANUEL,people
LJ,208,LAMBARRI. JOSE M.,people
LE,209,LANDA. ENRIOUE,people
LY,210,LANDA Y ESCANDON. J. W. DE,people
LP,211,LANDAZURI. PEDRO,people
LD,212,LARA. DONACIANO,people
LP,213,LARRANAGA PORTUGAL. MANUEL,people
LR,214,LAVISTA. RAFAEL,people
LA,215,LAZO. AGUSTIN M.,people
LM,216,LEBRIJA. MIGUEL,people
LE,217,LEON. MANUEL DE,people
LM,218,LEVI. MANUEL,people
LE,219,LICEAGA. EDUARDO,people
LJ,220,LIMANTOUR. JULIO M.,people
LR,221,LINARES. RAFAEL,people
LJ,222,LOERA. JESUS,people
LC,223,LOPEZ. CARLOS,people
LH,224,LOPEZ HERMOSA. ALBERTO,people
LJ,225,LOPEZ. JESUS FRUCTUOSO,people
LL,226,LOPEZ DE LARA. DOMINGO,people
LM,227,LOPEZ MASSE. JULIO,people
LA,228,LOZANO. AGUSTIN .,people
LC,229,LUCIDO CAMBAS. ANGEL,people
LI,230,LUCHINI. IGNACIO M.,people
LC,231,LUVIANO. CELERINO,people
LL,232,LLORENTE Y ROCHA. ENRIQUE,people
MP,233,MACEDO. PABLO,people
MJ,234,MACIAS. JOSE NATIVIDAD,people
ME,235,MACKINTOSH. ENRIQUE,people
MT,236,MANCERA. TOMAS,people
ML,237,MANRIOUE DE LARA. RAFAEL,people
MR,238,MANRIQUE. RAFAEL,people
MC,239,MAQUEO CASTELLANOS. ESTABAN,people
MG,240,MARIN GONZALEZ. RAFAEL,people
MI,241,MARIN. IGNACIO M.,people
MA,242,MARISCAL. ALONSO,people
MG,243,MARQUEZ GALINDO. RAMJN,people
MJ,244,MARTEL. JESUS,people
MC,245,MARTINEZ DE CASTRO. LUIS,people
MD,246,MARTINEZ. DIEGO,people
MF,247,MARTINEZ. FRANCISCO,people
MM,248,MARTINEZ. MODESTO R.,people
ML,249,MARTINEZ LOPEZ. FRANCISCO,people
MP,250,MARTINEZ PEREGRINA. CARLOS,people
MR,251,MARTIBEZ DEL RIO. PABLO,people
MJ,252,MATEOS. JUAN A.,people
MA,253,MAZA. ANTONIO,people
RF,254,MAZA. FRANCISCO DE LA,people
MG,255,MEIXUEIRO. GUILLERMO,people
AF,256,NEJIA. FRANCISCO,people
PE,257,ELGAR. EDUARDO,people
MA,258,RELGAREJO. AURELIO,people
MR,259,IENDEZ RIVAS. FEDERICO,people
MG,260,HINDIZABAL. GREGORIO,people
MN,261,MENOCAL. NICOLAS,people
NM,262,RERCADO. JACOBO,people
MM,263,MERCADO. MANUEL (H),people
MC,264,ERCENARIO. CARLOS,people
MM,265,MESTRE GORDOY. MANUEL,people
MI,266,MICHEL SANTANA. IGNACIO,people
MM,267,MIRUS. MANUEL,people
IF,268,WCTEZUMA GUERRERO. FRANCISCO,people
MO,269,MOGUEL. FAUSTO,people
MR,271,NNTANO. RAMIRO FRANCISCO,people
MO,272,WNTIEL Y DUARTE. JULIAN,people
ME,273,MONTIEL ESTRADA. GILBERTO,people
MN,274,MDRAL. NICOLAS DEL,people
MJ,275,WRALES. JESUS (P),people
MT,276,MORAN. TOMAS,people
MF,277,MUNOZ. FRANCISCO J,people
ML,278,WNOZ LANDERO. MANUEL,people
MI,279,MUNOZ. IGNACIO,people
MA,280,NRA. AGUSTIN,people
MF,282,MORALES. FRANCISCO DE P.,people
NJ,283,NARVAEZ. JOSE ISSAC,people
NM,284,NECOECFEA. MANUEL,people
NE,285,NOGUERA. EDUARDO,people
NA,287,NORIEGA. ANDRES,people
NU,288,NUNEZ. AGUSTIN ALFREDO,people
FE,289,NUWZ. EULALIO,people
NR,290,NUNEZ. ROBERTO,people
OG,291,OBREGON. GUILLERMO,people
OJ,292,OGARRIO. JOAQUIN,people
OI,293,OJEDA. INDALECIO,people
OA,294,OLAGUIBEL Y ARISTA. CARLOS,people
OF,295,OLAVARRIA Y FERRARI. ENRIQUE,people
OR,296,OLIVEROS. RAMON,people
OA,297,OLLOQUI. AGUSTIN R.,people
ON,298,ORELLANA V NOGUERAS. MANUEL,people
OJ,299,OROPEZA. JOAOUXN,people
OR,300,ORRANTIA. ROBERTO,people
OF,301,ORTEGA. FRANCISCO J.,people
OJ,302,OSORNO. JAVIER,people
PA,303,PADILLA. ANGEL,people
PL,304,PALACIOS. ALBERTO L.,people
PE,305,PARDO. EMILIO (JR.),people
PR,306,PARDO. RAFAEL,people
PM,307,PARRA. MANUEL,people
PA,308,PARRA. MELESIO,people
PP,309,PARRA. PORFIRIO,people
PS,310,PARRR. SIMON,people
PJ,311,PAYNO. JOAQUIN,people
PA,312,PAZ. ARTURO,people
PI,313,PAZ. IRENEO,people
PE,314,PAZOS. ENRIQUE,people
PM,316,PENICPE. MANUEL,people
PJ,317,PENA. JOSE ANTONIO DE LA,people
PR,318,PENA Y REYES. ANTONIO,people
PG,319,PEON. GONZALO,people
PE,320,PEREZ. AURELIO,people
PG,321,PEREZ GALVEZ. JUAN,people
